lyrics,mood
Where was God when I needed a friend? And where was God when I finished? Where was God when I lost my mind? Where was God when I could find? I don't want to be standing or down Don't want to be standing or down Don't want to be standing or down I don't want to be standing or down Where was love when I felt like hatred? Where was hatred when I felt like love? Where were you when you said you would be there? Where was fear when I said I was afraid? I don't want to be standing or down Don't want to be standing or down Don't want to be standing or down I don't want to be standing or down I don't want to be standing or down Tell me what you think I'm going to tell you what you should see Because I don't know who to trust My heart is filled with disgust I can't take this! No Tell me what you think I'm going to tell you what you need to see because I don't know who to trust me,3
"I'm going home, I'm going to load my rifle Wait by the door and turn on a cigarette If he's going to beat me now, he hasn't seen a fool yet He slapped my face and he shook me like a rag doll Don't sound like a real man I'm going to show him what a little girl does with Gunpowder and leads It's ten and a half hours, another pack of six in And I can feel the rumbling like a cold black wind He pulls in the car, the gravel flies He doesn't know what's waiting here this time I'm going to go home, I'm going to load my rifle Wait at the door and light a cigarette If he wants to fight now he has one and he doesn't see me crazy yet He slapped my face and he shook me like a rag doll Don't seem like a real man I'm going to show him what a little girl does with Gunpowder and lead His fist is bigger He's going to find me like a real doll",3
"From the dark of the deceiving lies A new star is born now it will put you in the light With its raging hands They have tried so hard to follow, but no one has cared inside you are all so hollow, you understand, nothing you can say (say), nothing will change what you've done to me Now it's time to shine (shin), I'm going to take what is mine while you're burning inside my light that I've given and you're taking and I've waited for you but I've made a mistake It's clear that you're afraid is so close to me Because I see the look on your face You've tried to hold my breath under, I've held my breath Alone and now you're wondering, What I'm asking Hey, nothing you can say (say), nothing will change what you've done to me Now it's time to shine (shin), you're going to burn in my light, nothing you can take, nothing will change what you've done to me (say) Now, I'm going to do what you're going to do what you're going to do what you're going to do that you're going to do",3
"Do you feel like you're going to be what you're going to be? Babe, you better know and you have a better plan all day Best plan all week, best plan all month Best plan all year You're dressed like a clown Putting your number This is the only time all year You'll never admit that I can see your eyes, I can see your brain Baby, nothing has changed I can see your eyes, I can see your brain Baby, nothing has changed Because you're hiding in a mask You're taking your shoot seriously, don't blow this year's luck Tomorrow your mold comes back after Halloween After Halloween You're going to work today You're going to work tomorrow Shim tonight You'll brag for months You remember what I've done, remember what I was back on Halloween? But what's between your ideas?",3
"An unanticipated future nestled somewhere in time Unsuspected victims No warning No judgment Day of the second coming Before seeing the light, you must die Forgotten children confirm a new faith Greed and lust controlled by hatred The endless search for your broken health The souls of the damnation in their own reality Chaos crawling in the age of distrust Impulsive habitat Confrontations Bastard sons generate your singing daughters Promiscuous mothers with your incestuous fathers Ingrate souls condemned for all eternity Supported by the immoral observance a dominant god Chaos crawling in an era of distrust Impulsive sabbatical confrontations On and south of the sky On and south of the sky On and south of the sky All evil is the heart of a black soul The force that lived all eternity The endless search for a truth never told The loss of all hope and your dignity Chaos crawling in an era of distrust On and south of the sky All evil is the heart of a black soul On and south of the sky On and south of the sky On and on the sky",3
"When I take you into the light I can see through this hole inside You listen rock and roll Believe in other gods If I think about it Baby We totally disagree When you're close to me Something moves in me Oh, the beast is free But I know you'll never be free Why am I always in pursuit of those running Why am I always in pursuit of those running It's a friend of mine We eat from time to time We drink and smoke and then I take a house with six trains I need time to pretend that he didn't touch me at all",3
I've never seen what I've never seen what I've never seen what I've never seen what I've never seen what I've never seen what I've never seen what I've never seen what I've never seen what I've never seen what I've never seen what I've never seen what I've never seen what I've never seen what I've never seen what I've never seen what I've never seen what I've never seen what I've never seen what I've never seen what I've never seen what I've never seen what I've never seen before what I've never seen what I've never seen what I've never seen what I've never seen what I've never seen what I've never seen before what I've never seen that I've never seen what I've never seen that I've never seen that I've never seen that I've never seen that I've never seen that I've never seen that I've never seen that I've never seen that I've never seen that I've never seen that I've never seen that I've ever seen that I've ever seen that I've never seen that I've ever seen that I've never seen that I've ever seen,3
"You can't sleep, you're a little obsessed with falling too deep and malfunctioning, you're a virus that intends to fuck something You're a crater on the face of a much bigger problem It's violence, or the lack of control Body and soul, digging a hole Is the stainless blood? Enjoy the pain by accepting your grief Are you finished? Do you not fall asleep, do not fall asleep Resurrection of the intention Once your vision is now produced in mass, Imagine the insults of art imagine accepting the truth Imagine accepting the truth Imagine accepting the truth Imagine accepting the truth Imagine accepting the truth The oscillating Hypnosis has taken control, now you hang on the shadow of a doubt Have you really thought about what you're all the name Now don't trust your instincts Just open the room where you keep these darkest regrets Imagine the things you've done wrong Rebellious to your leader a voice?",3
When I get mad and get mad I grab my pen And I write a list of all the people who won't miss You made my shit list For all those who piss me off Shitlist For all those who fill my doubt head Shitlist For all the places that piss me off Shitlist You made my shit list Shitlist Shitlist When I get mad Shitlist Shitlist Shitlist Shitlist Shitlist Shitlist Shitlist Shitlist Shitlist Shitlist Shitlist Shitlist Shitlist Shitlist Shitlist Shitlist Shitlist Shitlist Shitlist Shitlist Shitlist Shitlist Shitlist Shitlist Shitlist Shitlist Shitlist Shitlist Shitlist Shitlist Shitlist Shitlist Shitlist Shitlist Shitlist Shitlist Shitlist Shitlist Shitlist Shitlist Shitlist Shitlist Shitlist Shitlist Shitlist Shitlist Shitlist Shitlist Shitlist Shitlist Shitlist Shitlist Shitlist Shitlist Shitlist Shitlist Shitlist Shitlist Shitlist Shitlist Shitlist Shitlist Shitlist Shitlist Shitlist Shitlist Shitlist Shitlist Shitlist Shitlist Shitlist Shitlist Shitlist Shitlist Shitlist Shitlist Shitlist Shitlist Shitlist Shitlist Shitlist Shitlist Shitlist Shitlist Shitlist Shitlist Shitlist Shitlist Shitlist Shitlist Shitlist Shitlist Shitlist,3
"Don't want to be an American idiot. Don't want to be a nation that under the new media. And can you hear the sound of hysteria? The subliminal America of the mind. Welcome to a new kind of tension. Everything through the alien nation. Not everything is supposed to be ok. Tomorrow's television dreams. We're not the ones that are supposed to follow. Convince people to walk you. Well, maybe I'm America of shit. I'm not part of a program of bottlenecks. Now, everyone is doing the propaganda. And singing along at the age of paranoia. Welcome to a new kind of tension. Everything across the alien nation. Not everything is supposed to be OK. Tomorrow's television dreams. We're not those that are supposed to follow. Convince the people of you. Don't want to be an American idiot. Don't want a nation controlled by the media. The information nation of hysteria.",3
What are we going to do? What are we going to do? What are we going to do? What are we going to do? What are we going to do? What are we going to do? What are we going to do? What are we going to do? What are we going to do? What are we going to do? What are we going to do? What are we going to do? What are we going to do? What are we going to do? What are we going to do? What are we going to do? What are we going to do? What are we going to do? What are we going to do? What are we going to do? What are we going to do? What are we going to do? What are we going to do? What are we going to do?,3
"Everybody has a secret Can you tell me what's mine? I've been waiting for something for so long To show me the answers I want The reason to believe in it is so strong But I don't think it exists I've been waiting for something for so long To show me the answers I want The reason to believe in it is so strong But I don't think it exists Yes, give me a reason to believe that this world is not a sick machine When every place is a dead end In all directions Yes, can you give me what I need Or just sit down and watch me bleed 'After all, you can't get everything you want now But all I need is one thing to keep me moving",3
"If I had a rifle, a girl and a crèche A God to show me how to do things that his son made Pure, like a cup of virgin blood; mixed with 151, a sip of sips of sips of sips of sips of sips of sips of sips of sorghums of sorghums of sorghums of sorghums of sorghums of sorghums of sorghums of sorghums of sorghums of sorghums of sorghums of sorghums of sorghums of sorghums of sorghums of sorghums of sorghums of sorghums of sorghums of sorghums of sorghums of sorghums of sorghums of sorghums of sorghums of sorghum of sorghum of sorghum of sorghum of sorghum of sorghum of sorghum of sorghum of sorghum of sorghum of sorghum of sorghum of sorghums of sorgms of sorggans of sorgs of sorgms of s or sorggans of sorggans of s or sorgms of sorgbos of sorgbos of s or sorggans of s of sorgos of sorgos of sorgos of s on sorgorgos of sorgos of s on s or sorg- sorg- sorg- sorgos of sorgos of sorgos of sorg- sorg-s of s",3
"I asked Mic check one-two Who would have known? What do we tell Motherfucker and sell a few million records and these bastards of violence I don't make black music, I don't make white music I make fighting music, for high school kids I put women in danger with a knife like that (AHH!) Shit, you probably think I'm in your tape now that I'm in the back seat of your truck, with tape stretched Ducked down the way, wait to jump on your mouth, and take you out of your face, what now? Oh - you want me to look at my mouth, how?",3
"The world of revenge-Judas Priest Hey listens don't let you give yourself the mind Fill your brain with orders and it's not just They play a game that approaches you Until you live in a world that is ruled by fear Always tease baby who is o.k. What they are givins maybe it's out of phase with me You once said you'll never win the race Even old not tomorrow thrown into the face We shout for revenge The world is a manic place screaming, screaming for revenge The world is defiled in shame Tie a blindfold all around your head Turn into torture before the dread And then you're pushed and pushed into all corners And they take you into the final slaughter As the sweat runs over your neck All your time praying to stop breaking your body And your heart will soon explode",3
"Rush - Talib Kweli Sent the rush Yeah, I'm doing this shit for real Ain't no game in progress This may be the career (yo) It may be on stage (yo) It may be on the street (yo) But people come to me (why?) They come to me for lyrical, spiritual, raw shit that I spit you Original, and I see collective, not individual Visual, in the microphone I'm invincible, offical nigga to whom they come For hardcore, the art of war, rhymes that I had in store Triple W in curo son or die or For education and culture, the heads are waiting for Mos to make the album with Kweli, we do it as we assume that nobody approaches my team, we still have trouble doing your job, as if you didn't need a hand",3
"And if you never love me, then tell your friends that I'm obsessed and crazy It's good, I'll tell mine that you're gay and I hate that stupid old pick-up You never let me drive You're a red collar, a heartbreaker Who was a lie So watch me knock a match On all my lost time As far as I'm concerned You're just another photo to burn You never let me drive You don't have time to prepare my revenge Nothing stops me dating all your best friends And if you come to say forgive me My father will show you how sorry you will be Because I hate this stupid old pick-up You never let me drive You're just a pick-up that you've ever let burn an old pick-up who's never been a lie, then watch me hit a match for me I don't want to be another photo to burn And if you've never been a stupid pick-up You never burned me an old pick-up",3
"Shake your head like it's wrong Before you're here, you're already gone And even with the light all around you You're all alone in the dark. You break your own heart Too far on the lonely road You say there's only one love But when it's close enough you let go The very thing that you've been most afraid of You've done it from the beginning, you break your own heart. Too many tears, too many falls It's easy to hear behind these walls But you don't have to walk in the shadows Life is so hard. You break your own heart You're doing it too far on the lonely road You say it's just a love But when it's close enough you let go The very thing that you've been most afraid of You've done it from the beginning, you break your own heart. You're breaking your own heart. You don't say it's too late, I'm still here. If only you let your fears go.",3
I want to say that I'm a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit,3
The rebellion - of man against God The stability - of the church An illusion - violated by the time Pestilentia - Christorum Rest in peace... Divine serpents - throne of sacrilege Fanum diabolicum- The raid of Armageddon Terror is now triggered - only fools are waiting for an answer Demons are now crawling the earth - the key is in your hand Sing your words- inside the flames Pestilentia - Christorum Rest in peace... Divine serpents - throne of sacrilege Fanum diabolicum- raid of Armageddon,3
"In my hour of need Ha you're not there And although I've been looking for you I wouldn't have lent my hand Through the darkest hour Grace didn't replendise me It's so cold, very cold No one cares about me Did you ever think I needed love You never thought that you were the only one I thought about You I would never know how much I tried to find my space and satisfy you too Things will be better when I died and left I won't try to understand, knowing you I'm probably wrong But oh how I lived my life for you You would go now that I die for you My flesh is still crawling while I breathe your name All these years I thought I was wrong Now I know you're raising your head your eyes You'll tell me who you think, who I walk alone In the land promised There My flesh crawls even more than I breathe I've always passed things",3
I didn't have a candle. I didn't have a candle. I didn't have a candle. I didn't have a candle. I didn't have a candle. I didn't have a candle. I didn't have a candle. I didn't have a candle. I only had a candle that I had in the ocean. I didn't have a candle that I had a candle that I had a candle that I had in the ocean. I didn't have a candle that I had in the ocean. I didn't have a candle that I had a candle that I had in the ocean. I didn't have a candle that I had in the ocean. I didn't have a candle that I had a candle that I had in the ocean.,3
"You can't do that, you can't do that, you can't do that, you can't do that, you can't do that, you can't do that, you can't do that, you can't do that, you can't do that, you can't do that, you can't do that, you can't do that, you can't do that, you can't do that, you can't do that, you can't do that, you can't do that, you can't do that, you can't do that, you can't do that, you can't do that, you can't do that, you can't do that, you can't do that, you can't do that, you can't do that, you can't do that, you can't do that, you can't do that, you can't do that, you can't do that, you can't do that, you can't do that, you can't do that, you can't do that, you can't do that, you can't do that, you can't do that, you can't do that, you can't do that, you can't do that of, you can't make of, you can of, you can of, you can't do of, you can of, you can of, you of, you of, you can of, you can of, you can of, you can of, you can't do of, you can of, you can of, you can't do, you can of, you can of, you do, you can't do, you can of, you can of, you can of, you can of, you can of, you can of, can of, you can of, you can of, you can of, you can of, you can of, you can of, you can of, you can of, can of, you can of, can of, you can of, you do that, you do that, you do that, you do that, you can of, you do that, you do that, you can of, you can of, can of, you can of, you can of, you can of, you can of, you can of,",3
"The more I see of me thinking The more I try to read your lips The more the mask you wear tears But when I look for your voice My ears are surmounted by noise You show and tell with the greatest ease Replenish the impossibility Committed in crime I grab my throat Rasped my mind begins to smoke Rasped once again a mental overload Engry, angry again, angry again, angry If the story folds like a contortionist Lightness of hand and quick exchange The old towers have been rearranged Engaged in crime I grab my throat Rasped my mind starts smoking Engry again, angry again The craving of the air My body fights for the air The tearing of the tissue My lungs begin to tear my bones It takes off my flesh again The steam finally dissipates my face sweating The association I chose Game I inevitably lose I am spoiled by the laws put in place by me Fracture its breast to let me re-intoxicate my mind The spirit finally dissipates my face in sweat The association I have chosen Game I inevitably lost I am spoiled by the laws put in place by me",3
No life until the leather We're going to kick from the ass tonight We have the madness of the metal When our fans start yelling It's okay When we start rocking We never want to stop Flicking the lights Flicking the lights again You know our fans are crazy We're going to blow this place with volume higher than all today the only way When we start rocking We never want to stop Flicking the lights Flicking the lights with all our screams We're going to tear your brain We have mortal power It causes you soft pain Oh soft pain When we start rocking We never want to stop Flicking the lights Flicking the lights Flicking the lights Flicking the lights,3
I see it in your eyes Your paranoid feeling You know exactly what I've done You know what I've become I feel it deep inside With all the pain and lies I know just what I want I'm an animal I think it's time I let you go (Why did you send me?) You can't hide the beast! There's no breakup in me You can't hide the beast inside me I feel rage And all the pain You can't cage the beast inside me I feel in your vineyard You're a parasite Who knows exactly what I've done I think your time has come You tried to turn the tide I think you've lost your mind Fear of what I want This sick animal I've become I think it's time I let you go (Why did you send me?) You can't cage the beast!,3
"I need a phone call, I make a phone call, I make a phone call, I make a phone call, I make a phone call, I make a phone call, I make a phone call, I make a phone call, I make a phone call, I make a phone call, I make a phone call, I make a phone call, I make a phone call, I make a phone call, I make a phone call, I make a phone call, I make a phone call, I make a phone call, I make a phone call, I make a phone call, I make a phone call, I make a phone call, I make a phone call, I make a phone call, I make a phone call, I make a phone call, I make a phone call, I make a phone call, I make a phone call, I make a phone call, I make a phone call, I make a phone call, I make a phone call, I make a phone call, I make a phone call, I make a phone call, I make a phone call, I make a phone call, I make a call, I make a phone call, I make a phone call, I make a call, I make a phone call, I make a phone call, I make a call, I make a call, I make a call, make a call, make a call, make a call, make a call, make a call, make a call, make a call, make a call, make a call, make a call, make a call, make a call, make a call, make a call, make a call, make a call, make a call, make a call, make a call, make a call, make a call, make a call, make a call, make a call, make a call, make a call, make a call, make a call, make a call, make a call, make a call, make a call, make a call, make a call, make a call, make a call, make a call, make a call, make a call, make a call, make a call, make a call, make a call, make a call, make a call, make a call, make a call, make a call, make a call, make a call, make a call, make a call, make a call, make a call, make a call, make a call, make a call, make a call, make",3
"Ira Hayes Ira Hayes called him drunk Ira Hayes He won't answer him anymore Not the whiskey drink' Indian Neither the Marine who went to the Gather war around people there is a story I would say About a brave young Indian you should remember well From the tribe of the Indian Pima A proud and peaceful band Who cultivated the Phoenix Valley in Arizona earth in the ditches for a thousand years The water grew up the people of Ira 'While white man stole the water rights And the sparkling water stopped Now the people of Ira were hungry And their land cultivated the weeds When the war came, Ira volunteered And forgot the greed of the white man called him drunk Ira Hayes He didn't answer anymore Not the whiskey drink' Indian Neither the Marine who went to the war There they fought the water of the Indian Two hundred and fifty men But only twenty-seven lived to fight again And when the old Glory killed the man, the Indian man was killed",3
"I can't do anything, I can't do anything, I can't do anything anymore, I can't do anything anymore, I can't do anything anymore, I can't do anything anymore, I can't do anything anymore, I can't do anything anymore, I can't do anything anymore, I can't do anything anymore, I can't do anything more, I can't do anything more, I can't do nothing more, I can't do anything more, I can't do nothing more, I can't do nothing more, I can't do nothing more, I can't do nothing more, I can't do nothing more, I can't do nothing more, I can't do nothing more, I can't do nothing more, I can't do nothing more, I can't do nothing more, I can't do nothing more, I can't do nothing more, I can't do nothing more, I can't do nothing more.",3
I'm trying to catch myself because I'm dirty. I'm trying to catch myself because I'm dirty. I'm trying to catch myself because I'm dirty. I'm trying to catch myself because I'm dirty. I'm trying to catch myself because I'm dirty. I'm trying to catch myself because I'm dirty. I'm trying to catch myself because I'm dirty. I'm trying to catch myself because I'm dirty.,3
"I will never take part in the growing population or waste my time with more advanced studies Forget what we know is just a great show what they want to control so frustrated everything is so complicated fashion no passion surrounds me All I know is that I heard all this before reality is a boredom. You ask me to believe in something wrong. Well, I can't get me to do what you want. That's who we are and nothing is going to change. Nothing will change. I can't take part in the illusion of businessman, I'm going to take my chances in the real confusion of the world. Don't blame us who trust when they are so dishonest.",3
"This state, I am in a place where I have never been I am meeting you here Come break this skin I will let you sink into it and show you everything you see in Hell We will gather around the fire And I will lead the choir Sing my farewells See in Hell Don't break my spell We will drown the wish well We will find time to kill I will be there The Buzz inside your head The horrible electric chair See in Hell We will gather around the fire And I will lead the choir Sing my farewells See in Hell",3
My little girl My little girl My little girl Where are you? My little girl My little girl Where's gone you Day after day Day after day I get it now I keep just without you Twisted inside Six miles high I rehearse how to Say goodbye to you Skinnyman Turned into a monster I\'s turned into a monster Wrap it tight Emotions are distorted It\'s not surprised Nothing alive All hope was aborted Day after day I get it now I'm just going without you Twisted inside Six miles high I rehearse how to Say goodbye to you Skinnyman Turned into a monster I\'s turned into a monster Inside I\'s dying All used up to Goddamn I miss it As my skin becomes yellow I forget this hell As the heavens are damaged And the rain falls As my face becomes pale Try to treat these thoughts At the end of all this I'm dead All this becomes crazy I die of this skin,3
I will therefore anoint and whisper with all heart The creed of Hades and beyond As I succumb to an inevitable sin For I cannot slave With imaginary words of salvation The hypocrisy that surrounds my temple Is assisted by pretenders to the throne The winds that blow purity Signify my chosen heritage I was born to the opposition A contender for creation In Soret Diaboli In Soret Diaboli In Soret Diaboli For my sins I will not ask forgiveness For my sins They will not forgive Never speak quietly about me And I will never speak about my confession I make a voice to your rebellion against the traitor of the world I am the first creature of this kingdom I will be the one who will live his time With the triumph of free will,3
He told me not to tell me what to do. I am what I am many have tried to change the lives of this man. I told you not to give me things. I didn't tell you to give me things. I didn't tell you to give me things. You didn't tell me to give me things. You told me not to give me things.,3
I hope you get everything you want and you get everything you want.,3
"I wonder why I got out of bed, if I got a little luck, if I got a little luck, if I got a little luck, if I got a little luck, if I got a little luck, if I got a little luck, if I got a little luck, if I got a little luck, if I got a little luck, if I got a little luck, if I got a little luck, if I got a little luck, if I got a little luck, if I got a little luck, if I got a little luck, if I got a little luck, if I got a little luck, if I got a little luck, if I got a little luck, if I got a little luck, if I got a little luck, if I got a little luck, if I got a little luck, if I got a little luck, if I got a little luck, if I got a little luck, if I got a little luck, if I got a little luck, if I got a little luck, if I got a little bit of luck, if I got a little bit of luck, if I got a little bit of luck, if I got a little luck, if I got a little luck, if I got a little luck, if I got a little luck, if I got a little luck, if I got a little luck, if I got a little luck, if I got a bit of luck, if I got a little luck, if I got a little luck, if I got a little luck, if I got a little luck, if I got a little luck, if I got a little luck, if I got a little luck, if I got a little luck, if I got a little luck, if I got a little luck, if I got a little luck, if I got a little luck, if I got a little luck, if I got a little luck, if I got a little luck, if I got a little luck, if I got a little luck, if I got a little luck, if I got a little luck, if I got a little luck, if I got a little luck, if I got a little luck, if I got a little luck, if I got a little luck, if I got a little luck, if I got a little luck, if I got a little luck, if I got a little luck, if I got a little, if I got a little luck, if I got a bit",3
"Yeah, yeah, yeah so false that you hate a city that seems to me if I can't figure it out, I can't end up like that. It's about what you're driving you know. In a second, it's gonna swallow you as fast as that, you're far from your trail. To all those who want you to want you not to do it. To all those who need you. You need to know that I can't stand you. I'm tired of what you're saying. Now you're talking hard because you've stopped me. You're my derailment so sick and so shameful. So I'll never stop by saying. You know, you know, who I am. It's not about what you're driving, you know.",3
"You do something to me, you do something to me, you do something to me, you do something to me, you do something to me, you do something to me, you do something to me, you do something to me, you do something to me, you do something to me, you do something to me, you do something to me, you do something to me, you do something to me, you do something to me, you do something to me, you do something to me, you do something to me, you do something to me, you do something to me, you do something to me, you do something to me, you do something to me, you do something to me, you do something to me, you do something to me, you do something to me.",3
"No, you don't consider my love a deception, honey. No, you don't consider my love a deception, honey. It's an object of love, it was all the tactic of having you. Let it go, it's too done, let it go. Let it go, it's too done, let it go. It's too done, let it go. Look at my destiny, whose song is in the heart. And whose image is in the eyes, object of love. Leave it; leave it to me; leave your hands. I know that everything is wrong. Everything swears is false as well. Hey, whether I'm a liar or frank. The whole society knows how to let it pass. No, you don't consider my love a deception, darling.",3
"When you ruminate the desperate ends of time. Have you wandered in your lost and resigned days? Or recreate the universes in your mind? Everyone is a bastard The world is, like plaster. And the momentary pleasures take their turn, As the ingenious boy exhausts of things to learn. The episodes of yours will never come back. Fear a little hope, You will need this just to face, You are the decision, the numbers do not count. When you bite the dust, Is not the goal of all confidence, You will never relive it, Think before you die. Think, think, think before you die. Deficit and depravity, In the wake of despair. We write morals correct the nation, Now may be a time. As you ruminate the desperate ends of time, You wonder how your life has been defined?",3
"You could have knocked me down with a feather that I know you've heard all this before, but we're just neighbors to hell Why, why, why, why the world wouldn't turn around me? Build my dreams, the trees grow all over the streets But I don't know much about classic cars But I have a lot of friends stuck on the classic coke Down, set, one, cabin, cabin, hike Media Blitz Let's hear for the straight hearts of America But I have to admit that I'm in love with my own sins I have to confess that I'm in love with my own sins You can bow down and pretend that you're not, don't know that you're a legend Time, time, time hasn't told anyone else yet Sorry I just have to let my love break free again I don't know much about classic cars But I have a lot of friends stuck on the classic coke Down, set, hut, hut, hike Media Blitz I have to hear my love with me confess my sins",3
Why can't I always get away from me? Why can't I always get away from me? Why can't I still get away from me? Why can't I still get away from me? Why can't I still get away from me? Why can't I still get away from me? Why can't I still get away from me? Why can't I still get away from me? Why can't I still get away from me? Why can't I still get away from me? Why can't I get away from me? Why can't I get away from me? Why can't I get away from me? Why can't I get away from me? Why can't I get away from me? Why can't I get away from me? Why can't I get away from me? Why can't I get away from me? Why don't I get away from me? Why can't I get away from me? Why can't I always get away from me?,3
"The fat bully tries to put her finger in my chest Try to tell me, tell me he's the best but I don't really give a good cause I have my lunch box and I'm armed very well I have my lunch box and I'm armed very well I have my lunch box and I'm armed very well I want to grow I want to be a big rock and roll star I want to grow I want to be no one fucks with me I have pencils in my pocket, try to put me down Wanna out, go out to the playground, throw at the playground I want to grow I want to be a big rock and roll star I want to grow I want to be a star I want to become a star So no one fucks with me I want to grow",3
"I need me, I started writing all this. Let me plug you into my world. Wouldn't you help me to be a little crazy? Name this, warm the cold air Take the cold of my life and if I could turn my eyes to see what's happening. It's a living one and I'm dying a little bit more It's a living one It's a living one It's a living one Every moment here I die a little bit more Ooh I die, I die a little bit more Then the feeling of a no-name It's a living one It's a living one And I die a little bit more It's a living one It's a little bit of here and I avoid It's a little bit of here, I avoid myself from here I'm dying a little bit of here",3
"I barely waited I can barely wait I can barely wait I can barely wait I can barely wait I have been so long I have lost my taste Say angel come, say lick my face Drop your dress, I will play the role, I will open this wide mouth, eat your heart I barely waited I barely waited I barely waited I barely waited I waited for Lips broken blue tongue Shine Say angel come,Dit lick my thirst I lost my taste Romeo, make my world so big In my glass coffin, I wait In my glass coffin, I wait In my glass coffin, I wait In my glass coffin, I wait....",3
"Roses of blood, roses of blood Back to the street now Roses of blood, roses of blood Back to the street now Roses of blood, roses of blood Back to the street now Can't forget the things you never said For days like this, start by thinking when chickens have a taste of your meat, daughter And chickens have a taste of your meat, yes You gave her your blood and your little hot diamond You gave her your blood and your little hot diamond You gave her your blood and your little hot diamond He likes to kill you after you died You think I'm a queer, I think you're a queer I think you're a queer I think you're a queer I shaved every place you were, boy I said, I shaved every place you were, yes God knows that I threw these graces God knows that I know that I threw these graces I'm one that I shaved shave every place you were, I know that I shaved every place you were, I shaved every place you were, I know that I shaved every place you,",3
Who the hell do you think you're coming out of my hair that you think you're Comin? Who the hell do you think you're coming out of my hair that you're thinking you're Comin? Who the hell do you think you're coming out of my hair that you're thinking you're here Who the fuck? Who the hell do you think you're coming out of my hair I'm not like the other girls You can't straighten my curls I'm not like the other girls You can't straighten my curls Who the fuck you're trying to be? Teach your dog away from me! What the hell are you doing here? What the hell are you doing out of your fingers dirty out of my hair! Who? Who? Who? Who? Who? Who? Who? Who? Who? Who? Who? Who? Who? Who?,3
"When there is darkness and fog When you least expect me and turn your back, I attack when I smile when I sneak into the shadows near the wall, I laugh when I freak out but you won't hear me at all my warning Never turn your back on the waver You will soon tremble with fear Never know if I am near me Sly and I am without shame Nocturne and without name Except for ""the waver"" Or if you like ""jack the horn"" Solo (glenn) Any rear alley Is where we will probably meet under the waver a gas lamp Where the air is cold and wet I am a bad surprise I am a disguised demon I am a foot step at night I am a cry of fear All hear my warning Never turn your back On the waver... the waver... the waver...",3
